Total Nacional;Comunidades y Ciudades Autónomas;Actividad principal (CNAE 2009);Estrato de asalariados;Total
Total Nacional;;Todas las actividades;Total;278.525
Total Nacional;;Todas las actividades;Cero;231.633
Total Nacional;;Todas las actividades;1 a 4;41.150
Total Nacional;;Todas las actividades;5 a 9;4.367
Total Nacional;;Todas las actividades;10 y más;1.375
Total Nacional;;05  Extracción de antracita, hulla y lignito;Total;1
Total Nacional;;05  Extracción de antracita, hulla y lignito;Cero;0
Total Nacional;;05  Extracción de antracita, hulla y lignito;1 a 4;0
Total Nacional;;05  Extracción de antracita, hulla y lignito;5 a 9;0
Total Nacional;;05  Extracción de antracita, hulla y lignito;10 y más;1
Total Nacional;;06  Extracción de crudo de petróleo y gas natural;Total;2
Total Nacional;;06  Extracción de crudo de petróleo y gas natural;Cero;1
Total Nacional;;06  Extracción de crudo de petróleo y gas natural;1 a 4;1
Total Nacional;;06  Extracción de crudo de petróleo y gas natural;5 a 9;0
Total Nacional;;06  Extracción de crudo de petróleo y gas natural;10 y más;0
Total Nacional;;07  Extracción de minerales metálicos;Total;4
Total Nacional;;07  Extracción de minerales metálicos;Cero;3
Total Nacional;;07  Extracción de minerales metálicos;1 a 4;1
Total Nacional;;07  Extracción de minerales metálicos;5 a 9;0
Total Nacional;;07  Extracción de minerales metálicos;10 y más;0
Total Nacional;;08  Otras industrias extractivas;Total;35
Total Nacional;;08  Otras industrias extractivas;Cero;25
Total Nacional;;08  Otras industrias extractivas;1 a 4;10
Total Nacional;;08  Otras industrias extractivas;5 a 9;0
Total Nacional;;08  Otras industrias extractivas;10 y más;0
Total Nacional;;09  Actividades de apoyo a las industrias extractivas;Total;5
Total Nacional;;09  Actividades de apoyo a las industrias extractivas;Cero;3
Total Nacional;;09  Actividades de apoyo a las industrias extractivas;1 a 4;1
Total Nacional;;09  Actividades de apoyo a las industrias extractivas;5 a 9;1
Total Nacional;;09  Actividades de apoyo a las industrias extractivas;10 y más;0
Total Nacional;;10  Industria de la alimentación;Total;1.064
Total Nacional;;10  Industria de la alimentación;Cero;591
Total Nacional;;10  Industria de la alimentación;1 a 4;369
Total Nacional;;10  Industria de la alimentación;5 a 9;71
Total Nacional;;10  Industria de la alimentación;10 y más;33
Total Nacional;;11  Fabricación de bebidas;Total;152
Total Nacional;;11  Fabricación de bebidas;Cero;127
Total Nacional;;11  Fabricación de bebidas;1 a 4;23
Total Nacional;;11  Fabricación de bebidas;5 a 9;2
Total Nacional;;11  Fabricación de bebidas;10 y más;0
Total Nacional;;12  Industria del tabaco;Total;6
Total Nacional;;12  Industria del tabaco;Cero;6
Total Nacional;;12  Industria del tabaco;1 a 4;0
Total Nacional;;12  Industria del tabaco;5 a 9;0
Total Nacional;;12  Industria del tabaco;10 y más;0
Total Nacional;;13  Industria textil;Total;616
Total Nacional;;13  Industria textil;Cero;524
Total Nacional;;13  Industria textil;1 a 4;66
Total Nacional;;13  Industria textil;5 a 9;16
Total Nacional;;13  Industria textil;10 y más;10
Total Nacional;;14  Confección de prendas de vestir;Total;1.079
Total Nacional;;14  Confección de prendas de vestir;Cero;909
Total Nacional;;14  Confección de prendas de vestir;1 a 4;137
Total Nacional;;14  Confección de prendas de vestir;5 a 9;21
Total Nacional;;14  Confección de prendas de vestir;10 y más;12
Total Nacional;;15  Industria del cuero y del calzado;Total;264
Total Nacional;;15  Industria del cuero y del calzado;Cero;183
Total Nacional;;15  Industria del cuero y del calzado;1 a 4;47
Total Nacional;;15  Industria del cuero y del calzado;5 a 9;21
Total Nacional;;15  Industria del cuero y del calzado;10 y más;13
Total Nacional;;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Total;362
Total Nacional;;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;Cero;245
Total Nacional;;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;1 a 4;92
Total Nacional;;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;5 a 9;14
Total Nacional;;16  Industria de la madera y del corcho, excepto muebles cestería y espartería;10 y más;11
Total Nacional;;17  Industria del papel;Total;44
Total Nacional;;17  Industria del papel;Cero;31
Total Nacional;;17  Industria del papel;1 a 4;8
Total Nacional;;17  Industria del papel;5 a 9;2
Total Nacional;;17  Industria del papel;10 y más;3
Total Nacional;;18  Artes gráficas y reproducción de soportes grabados;Total;897
Total Nacional;;18  Artes gráficas y reproducción de soportes grabados;Cero;795
Total Nacional;;18  Artes gráficas y reproducción de soportes grabados;1 a 4;90
Total Nacional;;18  Artes gráficas y reproducción de soportes grabados;5 a 9;9
Total Nacional;;18  Artes gráficas y reproducción de soportes grabados;10 y más;3
Total Nacional;;19  Coquerías y refino de petróleo;Total;0
Total Nacional;;19  Coquerías y refino de petróleo;Cero;0
Total Nacional;;19  Coquerías y refino de petróleo;1 a 4;0
Total Nacional;;19  Coquerías y refino de petróleo;5 a 9;0
Total Nacional;;19  Coquerías y refino de petróleo;10 y más;0
Total Nacional;;20  Industria química;Total;185
Total Nacional;;20  Industria química;Cero;138
Total Nacional;;20  Industria química;1 a 4;41
Total Nacional;;20  Industria química;5 a 9;4
Total Nacional;;20  Industria química;10 y más;2
Total Nacional;;21  Fabricación de productos farmacéuticos;Total;20
Total Nacional;;21  Fabricación de productos farmacéuticos;Cero;12
Total Nacional;;21  Fabricación de productos farmacéuticos;1 a 4;6
Total Nacional;;21  Fabricación de productos farmacéuticos;5 a 9;1
Total Nacional;;21  Fabricación de productos farmacéuticos;10 y más;1
Total Nacional;;22  Fabricación de productos de caucho y plásticos;Total;138
Total Nacional;;22  Fabricación de productos de caucho y plásticos;Cero;88
Total Nacional;;22  Fabricación de productos de caucho y plásticos;1 a 4;32
Total Nacional;;22  Fabricación de productos de caucho y plásticos;5 a 9;8
Total Nacional;;22  Fabricación de productos de caucho y plásticos;10 y más;10
Total Nacional;;23  Fabricación de otros productos minerales no metálicos;Total;215
Total Nacional;;23  Fabricación de otros productos minerales no metálicos;Cero;141
Total Nacional;;23  Fabricación de otros productos minerales no metálicos;1 a 4;56
Total Nacional;;23  Fabricación de otros productos minerales no metálicos;5 a 9;14
Total Nacional;;23  Fabricación de otros productos minerales no metálicos;10 y más;4
Total Nacional;;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Total;33
Total Nacional;;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;Cero;21
Total Nacional;;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;1 a 4;12
Total Nacional;;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;5 a 9;0
Total Nacional;;24  Metalurgia fabricación de productos de hierro, acero y ferroaleaciones;10 y más;0
Total Nacional;;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Total;1.482
Total Nacional;;25  Fabricación de productos metálicos, excepto maquinaria y equipo;Cero;1.034
Total Nacional;;25  Fabricación de productos metálicos, excepto maquinaria y equipo;1 a 4;360
Total Nacional;;25  Fabricación de productos metálicos, excepto maquinaria y equipo;5 a 9;65
Total Nacional;;25  Fabricación de productos metálicos, excepto maquinaria y equipo;10 y más;23
Total Nacional;;26  Fabricación de productos informáticos, electrónicos y ópticos;Total;136
Total Nacional;;26  Fabricación de productos informáticos, electrónicos y ópticos;Cero;109
Total Nacional;;26  Fabricación de productos informáticos, electrónicos y ópticos;1 a 4;25
Total Nacional;;26  Fabricación de productos informáticos, electrónicos y ópticos;5 a 9;1
Total Nacional;;26  Fabricación de productos informáticos, electrónicos y ópticos;10 y más;1
Total Nacional;;27  Fabricación de material y equipo eléctrico;Total;69
Total Nacional;;27  Fabricación de material y equipo eléctrico;Cero;51
Total Nacional;;27  Fabricación de material y equipo eléctrico;1 a 4;15
Total Nacional;;27  Fabricación de material y equipo eléctrico;5 a 9;2
Total Nacional;;27  Fabricación de material y equipo eléctrico;10 y más;1
Total Nacional;;28  Fabricación de maquinaria y equipo n.c.o.p.;Total;172
Total Nacional;;28  Fabricación de maquinaria y equipo n.c.o.p.;Cero;96
Total Nacional;;28  Fabricación de maquinaria y equipo n.c.o.p.;1 a 4;60
Total Nacional;;28  Fabricación de maquinaria y equipo n.c.o.p.;5 a 9;11
Total Nacional;;28  Fabricación de maquinaria y equipo n.c.o.p.;10 y más;5
Total Nacional;;29  Fabricación de vehículos de motor, remolques y semirremolques;Total;63
Total Nacional;;29  Fabricación de vehículos de motor, remolques y semirremolques;Cero;48
Total Nacional;;29  Fabricación de vehículos de motor, remolques y semirremolques;1 a 4;9
Total Nacional;;29  Fabricación de vehículos de motor, remolques y semirremolques;5 a 9;3
Total Nacional;;29  Fabricación de vehículos de motor, remolques y semirremolques;10 y más;3
Total Nacional;;30  Fabricación de otro material de transporte;Total;47
Total Nacional;;30  Fabricación de otro material de transporte;Cero;31
Total Nacional;;30  Fabricación de otro material de transporte;1 a 4;15
Total Nacional;;30  Fabricación de otro material de transporte;5 a 9;1
Total Nacional;;30  Fabricación de otro material de transporte;10 y más;0
Total Nacional;;31  Fabricación de muebles;Total;492
Total Nacional;;31  Fabricación de muebles;Cero;376
Total Nacional;;31  Fabricación de muebles;1 a 4;86
Total Nacional;;31  Fabricación de muebles;5 a 9;21
Total Nacional;;31  Fabricación de muebles;10 y más;9
Total Nacional;;32  Otras industrias manufactureras;Total;683
Total Nacional;;32  Otras industrias manufactureras;Cero;584
Total Nacional;;32  Otras industrias manufactureras;1 a 4;84
Total Nacional;;32  Otras industrias manufactureras;5 a 9;9
Total Nacional;;32  Otras industrias manufactureras;10 y más;6
Total Nacional;;33  Reparación e instalación de maquinaria y equipo;Total;920
Total Nacional;;33  Reparación e instalación de maquinaria y equipo;Cero;660
Total Nacional;;33  Reparación e instalación de maquinaria y equipo;1 a 4;219
Total Nacional;;33  Reparación e instalación de maquinaria y equipo;5 a 9;28
Total Nacional;;33  Reparación e instalación de maquinaria y equipo;10 y más;13
Total Nacional;;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Total;59
Total Nacional;;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;Cero;1
Total Nacional;;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;1 a 4;45
Total Nacional;;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;5 a 9;10
Total Nacional;;35  Suministro de energía eléctrica, gas, vapor y aire acondicionado;10 y más;3
Total Nacional;;36  Captación, depuración y distribución de agua;Total;72
Total Nacional;;36  Captación, depuración y distribución de agua;Cero;26
Total Nacional;;36  Captación, depuración y distribución de agua;1 a 4;46
Total Nacional;;36  Captación, depuración y distribución de agua;5 a 9;0
Total Nacional;;36  Captación, depuración y distribución de agua;10 y más;0
Total Nacional;;37  Recogida y tratamiento de aguas residuales;Total;23
Total Nacional;;37  Recogida y tratamiento de aguas residuales;Cero;17
Total Nacional;;37  Recogida y tratamiento de aguas residuales;1 a 4;5
Total Nacional;;37  Recogida y tratamiento de aguas residuales;5 a 9;1
Total Nacional;;37  Recogida y tratamiento de aguas residuales;10 y más;0
Total Nacional;;38  Recogida, tratamiento y eliminación de residuos valorización;Total;147
Total Nacional;;38  Recogida, tratamiento y eliminación de residuos valorización;Cero;103
Total Nacional;;38  Recogida, tratamiento y eliminación de residuos valorización;1 a 4;37
Total Nacional;;38  Recogida, tratamiento y eliminación de residuos valorización;5 a 9;6
Total Nacional;;38  Recogida, tratamiento y eliminación de residuos valorización;10 y más;1
Total Nacional;;39  Actividades de descontaminación y otros servicios de gestión de residuos;Total;51
Total Nacional;;39  Actividades de descontaminación y otros servicios de gestión de residuos;Cero;46
Total Nacional;;39  Actividades de descontaminación y otros servicios de gestión de residuos;1 a 4;4
Total Nacional;;39  Actividades de descontaminación y otros servicios de gestión de residuos;5 a 9;1
Total Nacional;;39  Actividades de descontaminación y otros servicios de gestión de residuos;10 y más;0
Total Nacional;;41  Construcción de edificios;Total;20.903
Total Nacional;;41  Construcción de edificios;Cero;17.828
Total Nacional;;41  Construcción de edificios;1 a 4;2.525
Total Nacional;;41  Construcción de edificios;5 a 9;382
Total Nacional;;41  Construcción de edificios;10 y más;168
Total Nacional;;42  Ingeniería civil;Total;125
Total Nacional;;42  Ingeniería civil;Cero;23
Total Nacional;;42  Ingeniería civil;1 a 4;80
Total Nacional;;42  Ingeniería civil;5 a 9;12
Total Nacional;;42  Ingeniería civil;10 y más;10
Total Nacional;;43  Actividades de construcción especializada;Total;15.738
Total Nacional;;43  Actividades de construcción especializada;Cero;12.342
Total Nacional;;43  Actividades de construcción especializada;1 a 4;2.964
Total Nacional;;43  Actividades de construcción especializada;5 a 9;302
Total Nacional;;43  Actividades de construcción especializada;10 y más;130
Total Nacional;;45  Venta y reparación de vehículos de motor y motocicletas;Total;5.541
Total Nacional;;45  Venta y reparación de vehículos de motor y motocicletas;Cero;4.419
Total Nacional;;45  Venta y reparación de vehículos de motor y motocicletas;1 a 4;1.045
Total Nacional;;45  Venta y reparación de vehículos de motor y motocicletas;5 a 9;57
Total Nacional;;45  Venta y reparación de vehículos de motor y motocicletas;10 y más;20
Total Nacional;;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Total;16.671
Total Nacional;;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;Cero;14.561
Total Nacional;;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;1 a 4;1.835
Total Nacional;;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;5 a 9;227
Total Nacional;;46  Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas;10 y más;48
Total Nacional;;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;Total;32.399
Total Nacional;;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;Cero;25.132
Total Nacional;;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;1 a 4;6.711
Total Nacional;;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;5 a 9;499
Total Nacional;;47  Comercio al por menor, excepto de vehículos de motor y motocicletas;10 y más;57
Total Nacional;;49  Transporte terrestre y por tubería;Total;9.336
Total Nacional;;49  Transporte terrestre y por tubería;Cero;7.500
Total Nacional;;49  Transporte terrestre y por tubería;1 a 4;1.633
Total Nacional;;49  Transporte terrestre y por tubería;5 a 9;166
Total Nacional;;49  Transporte terrestre y por tubería;10 y más;37
Total Nacional;;50  Transporte marítimo y por vías navegables interiores;Total;104
Total Nacional;;50  Transporte marítimo y por vías navegables interiores;Cero;58
Total Nacional;;50  Transporte marítimo y por vías navegables interiores;1 a 4;43
Total Nacional;;50  Transporte marítimo y por vías navegables interiores;5 a 9;3
Total Nacional;;50  Transporte marítimo y por vías navegables interiores;10 y más;0
Total Nacional;;51  Transporte aéreo;Total;28
