CPRO;LITPRO;CUMUN;LITMUN;CUDIS;BI_ALVHEPCO_TVC_15;BI_ALVHEPCO_TVU_15;ALQM2mes_LV_M_VC_15;ALQM2mes_LV_25_VC_15;ALQM2mes_LV_75_VC_15;ALQM2mes_LV_M_VU_15;ALQM2mes_LV_25_VU_15;ALQM2mes_LV_75_VU_15;ALQTBID12_M_VC_15;ALQTBID12_25_VC_15;ALQTBID12_75_VC_15;ALQTBID12_M_VU_15;ALQTBID12_25_VU_15;ALQTBID12_75_VU_15;SLVM2_M_VC_15;SLVM2_25_VC_15;SLVM2_75_VC_15;SLVM2_M_VU_15;SLVM2_25_VU_15;SLVM2_75_VU_15;BI_ALVHEPCO_TVC_16;BI_ALVHEPCO_TVU_16;ALQM2mes_LV_M_VC_16;ALQM2mes_LV_25_VC_16;ALQM2mes_LV_75_VC_16;ALQM2mes_LV_M_VU_16;ALQM2mes_LV_25_VU_16;ALQM2mes_LV_75_VU_16;ALQTBID12_M_VC_16;ALQTBID12_25_VC_16;ALQTBID12_75_VC_16;ALQTBID12_M_VU_16;ALQTBID12_25_VU_16;ALQTBID12_75_VU_16;SLVM2_M_VC_16;SLVM2_25_VC_16;SLVM2_75_VC_16;SLVM2_M_VU_16;SLVM2_25_VU_16;SLVM2_75_VU_16;BI_ALVHEPCO_TVC_17;BI_ALVHEPCO_TVU_17;ALQM2mes_LV_M_VC_17;ALQM2mes_LV_25_VC_17;ALQM2mes_LV_75_VC_17;ALQM2mes_LV_M_VU_17;ALQM2mes_LV_25_VU_17;ALQM2mes_LV_75_VU_17;ALQTBID12_M_VC_17;ALQTBID12_25_VC_17;ALQTBID12_75_VC_17;ALQTBID12_M_VU_17;ALQTBID12_25_VU_17;ALQTBID12_75_VU_17;SLVM2_M_VC_17;SLVM2_25_VC_17;SLVM2_75_VC_17;SLVM2_M_VU_17;SLVM2_25_VU_17;SLVM2_75_VU_17;BI_ALVHEPCO_TVC_18;BI_ALVHEPCO_TVU_18;ALQM2mes_LV_M_VC_18;ALQM2mes_LV_25_VC_18;ALQM2mes_LV_75_VC_18;ALQM2mes_LV_M_VU_18;ALQM2mes_LV_25_VU_18;ALQM2mes_LV_75_VU_18;ALQTBID12_M_VC_18;ALQTBID12_25_VC_18;ALQTBID12_75_VC_18;ALQTBID12_M_VU_18;ALQTBID12_25_VU_18;ALQTBID12_75_VU_18;SLVM2_M_VC_18;SLVM2_25_VC_18;SLVM2_75_VC_18;SLVM2_M_VU_18;SLVM2_25_VU_18;SLVM2_75_VU_18
02;Albacete;02001;Abengibre;0200101;1;6;;;;;;;;;;;;;;;;;;;1;6;;;;;;;;;;;;;;;;;;;1;7;;;;;;;;;;;;;;;;;;;1;8;;;;;;;;;;;;;;;;;;
02;Albacete;02002;Alatoz;0200201;;3;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;
02;Albacete;02003;Albacete;0200301;879;2;4,86206240487063;3,72230525760507;7,32902298850575;;;;450;350;685;;;;97;77;120;;;;944;4;5,39772727272727;3,91472868217054;8,08080808080808;;;;483;370;760;;;;97;77;120;;;;977;6;5,49939068100358;4,15786384976526;8,27001730345448;;;;500;400;780;;;;94;76;120;;;;1076;4;5,80128205128205;4,24586776859504;8,57142857142858;;;;500;400;800;;;;94;75;118;;;
02;Albacete;02003;Albacete;0200302;1035;20;4,62962962962963;3,47368935837246;6,9695958825772;5,61224489795918;4,94404676258993;7,35066666666667;410;321;625;687,2225;397,5;850;98;81;112;214;97;243;1118;21;4,85436893203883;3,68849920644137;7,31186991869919;5,59389223315225;4,96614675701299;8,75362318840583;435;350;677;676,798333333333;429,1725;831,25;97;80;112;175;74,25;240,5;1226;23;5,06329113924051;3,75;7,83937346437347;5,80613404013631;4,33699794803333;8,88888888888892;450;350;708;606,25;422,6275;850;95;79;112;206;93,75;240;1323;26;5,10536187113857;3,80952380952381;7,9093992248062;5,96774193548387;5,23255813953488;9,44444444444442;450;350;740;700;416,4175;1010;95;79;112;214;90,5;241
02;Albacete;02003;Albacete;0200303;615;9;4,66933548493876;3,29523431994362;7,14285714285714;;;;400;300;612;;;;95;79;116;;;;666;10;4,76190476190476;3,41880341880342;7,19589041095891;4,81927710843373;4,05844155844156;8,08176222612598;400;330;629;410;325;901,095072028812;94;78;113;112;85,5;160;741;9;4,76190476190476;3,47826086956522;7,29166666666667;;;;405;334;674;;;;93;78;113;;;;790;9;5,06666666666667;3,71609773205518;7,82156862745098;;;;450;350;700;;;;92;77;113;;;
02;Albacete;02003;Albacete;0200304;541;24;4,57229965156794;3,43137254901961;6,63697682462816;5,26315789473684;3,38390313390313;6,875;400;300;564;701,333333333333;400;1080,10801080108;97;78;110;217;113;249;603;23;4,80963855421687;3,77196950116309;7,24814356435643;5,22793311403509;3,63956889005602;7,73946991136852;425;350;650;746,833333333333;422,916666666667;1137,57875787579;97;80;110;218;103,5;256;664;33;4,95381526104418;3,80952380952381;7,72946859903382;5,36592741935484;4,00168475831291;8,52900752314817;430;350;700;829,5;453,125;1281,22916666667;95;78;110;218;97,25;263,25;759;32;5,15289449112978;3,92055791388721;8,16339032527106;6,0765625;2,5974025974026;8,51162790697675;450;350;700;712,5;340;1400;94;77;110;168;94;249
02;Albacete;02003;Albacete;0200305;627;4;4,54647279244053;3,33333333333333;7,14285714285714;;;;400;300;600;;;;94;76;109;;;;700;5;4,79452054794521;3,56125356125356;7,77777777777778;;;;420;324;680;;;;92;75;108;;;;773;4;4,78856462179869;3,71526263177027;7,46028571428572;;;;404;331;640;;;;92;75;108;;;;823;8;4,9339245348635;3,86102299762093;7,58780332056194;;;;425;350;660;;;;91;74;107;;;
02;Albacete;02003;Albacete;0200306;780;19;5,24590163934426;3,88549382716049;7,74647887323943;5,38522867289991;3,56187474216172;6,65967985438401;500;380;800;714,583333333333;406,510416666667;1045;100;83;122;121;107,75;198,5;827;23;5,44466403162055;4,0555489117436;8,1207229121735;5,71366730355863;4,15711009174312;8,74645163579592;500;400;800;815;437,5;1185;100;82;124;122,5;113,25;182,75;838;21;5,66037735849057;4,20875850340136;8,618230529312;5,31180954485197;4,28143250224618;6,56777033730159;500;400;806;740;457,5;1112,5;99;79;121;124,5;109,75;204,5;908;21;5,78313253012048;4,28008902585174;8,95133333333333;5,78080599328339;4,552778142507;8,3559063453515;528;412;850;550;467,5625;1275;99;80;120;120;107,75;138
02;Albacete;02003;Albacete;0200307;862;41;5,09871484447756;3,86336767509812;7,73809523809524;5,22359584859585;4,27754435107377;8,53376039961808;450;350;700;800;530;912,5;94;78;113;227,5;152;257;924;53;5,40540540540541;4,10714285714286;8,17307692307693;5,2724358974359;4,14817554240631;6,50591521524811;480;370;733;750;392,802928;937,5;93;76;112;227;107;257;1001;57;5,43631785802014;4,16666666666667;8,24191804927099;5,49978375038616;4,75195982361587;7,43900329175329;500;388;740;750;461,55;900;93;76;112;221,5;106,5;257;1060;62;5,625;4,24528301886793;8,75;5,44871794871795;4,76032990364201;7,49710846372688;500;400;780;770;450;1008,33333333333;93;76;112;227;107;257
02;Albacete;02003;Albacete;0200308;2;66;;;;3,78151260504202;2,49831932773109;5,33983350439047;;;;500;375,171389396709;822,453703703704;;;;262;201;269;3;71;;;;3,90217391304347;2,66858552631579;5,307047553883;;;;510,827814569536;400;806,26125;;;;263;198,25;297,25;4;76;;;;4,28571428571428;2,57142857142858;6,2015503875969;;;;600;400;1000;;;;263;199;313;6;89;;;;3,31193095744518;2,47212543554007;6,16824277187815;;;;500;356,25;987,5;;;;263;195,25;318,75
